sku,rating,review_text,date,verified_purchase
306b0c583288,3,"the compared products were delivered ahead of schedule.
But the shipping cost is very high.",2018-08-18,True
c8a148c82c4a,5,"BEFORE THE DEADLINE, GREAT.",2018-08-31,True
c8a148c82c4a,5,"BEFORE THE DEADLINE, GREAT.",2018-08-31,True
a16a8eed860c,5,"I haven't tested the product yet, but delivery was quick. thanks",2018-08-11,True
0ec7b6a863e2,1,"delay in delivery of the goods, does not meet a specified deadline.",2018-08-24,True
8acf0061d1c7,1,"The product is not what I expected, but it works",2018-08-25,True
81fa3a54b696,1,I haven't received my product and they still don't respond to my contacts. This store is horrible,2018-08-31,True
e0d64dcfaa3b,1,I haven't received my product and they still don't respond to my contacts. This store is horrible,2018-08-31,True
f27aff266ad9,1,So far I haven't received it and I'm already paying,2018-08-19,True
4ff38de0673d,5,Great product and easy to replace on the device. It took me less than 2 minutes to change,2018-08-15,True
cd2c0529e450,5,"I really liked the product, soft hair",2018-08-15,True
91846781ef75,5,"Delivery of the product made well before the date, correct size and items that were included in the kit. Much better than expected.",2018-08-18,True
2bd9b51a9ab0,5,faster than I've ever seen,2018-08-31,True
aa8d88eb4b9c,3,"now the third and last trip of 181.40 is missing, I'm waiting",2018-08-21,True
b2b2279a0174,2,I partially received it.,2018-08-16,True
3fbc0ef74595,2,I partially received it.,2018-08-16,True
da0bb22eb8eb,5,Great product and fast delivery,2018-08-30,True
a10fa96cb854,1,"The order was 5 bottles of linseed oil, 1 coconut oil came. If you didn't have all 5, you shouldn't sell it. I've been trying to contact you by email for 2 days and no one responds. By phone and impossible",2018-08-31,True
2655d926d7d2,5,The order arrived in perfect condition and well ahead of schedule!,2018-08-24,True
5b7692c4f3cf,3,"One cover only arrived on 27/08 and the other on 29/08, but the tracking showed that I had already received both, in the end everything was fine.
Thanks",2018-08-28,True
85156b6f3e9b,3,"One cover only arrived on 27/08 and the other on 29/08, but the tracking showed that I had already received both, in the end everything was fine.
Thanks",2018-08-28,True
1dee3524e3a9,5,"I received the product as advertised, it works as promised.",2018-08-28,True
f9cce3e19235,2,It came with a small dent on the battery cover! I didn't complain because they would claim it was mishandled... it would be difficult for them to replace it. I DIDN'T want to pick the fight!,2018-08-23,True
41db6d8062fc,5,great price and fast delivery,2018-08-17,True
2481a472d98c,5,Easy purchase. Quick. I recommend,2018-08-14,True
3d6a21fcd606,5,"Good product, good price and delivered on time. I recommend!!!",2018-08-21,True
46c01e269265,4,👍,2018-08-17,True
448f8f85f231,5,Arrived before deadline,2018-08-23,True
e673e90efa65,3,"MY ORDER WAS FOR 2 UNITS OF THE SAME PRODUCT AND SO FAR I HAVE ONLY RECEIVED ONE....
AS I PURCHASED THE SAME PRODUCT, I THINK DELIVERY WOULD BE AT THE SAME MOMENT, WILL I RECEIVE THE OTHER UNIT LATER???",2018-08-25,True
e673e90efa65,3,"MY ORDER WAS FOR 2 UNITS OF THE SAME PRODUCT AND SO FAR I HAVE ONLY RECEIVED ONE....
AS I PURCHASED THE SAME PRODUCT, I THINK DELIVERY WOULD BE AT THE SAME MOMENT, WILL I RECEIVE THE OTHER UNIT LATER???",2018-08-25,True
cebff45f1d15,5,I haven't tested it yet,2018-08-16,True
fb61126545fe,5,Ok,2018-08-28,True
3dd2a17168ec,5,excellent,2018-08-22,True
a62e25e09e05,1,I didn't receive the wall clock,2018-08-14,True
e9ba3ec00ccd,1,I didn't receive the wall clock,2018-08-14,True
65bebe0ebbe0,5,Excellent,2018-08-30,True
50c3b0ec236a,5,Very good! It was delivered ahead of schedule.,2018-08-29,True
0ec96e6d31a1,1,"If they do not give me a position regarding my undelivered order, I will have to take legal action to resolve my problem.",2018-08-28,True
f0bb82bede57,1,"If they do not give me a position regarding my undelivered order, I will have to take legal action to resolve my problem.",2018-08-28,True
f0bb82bede57,1,"If they do not give me a position regarding my undelivered order, I will have to take legal action to resolve my problem.",2018-08-28,True
50e9e70a21b8,4,Everything ok,2018-08-25,True
d64a5abc068b,1,So far I have not received any response to the request I made. There is no channel to speak directly to a person to resolve the issue,2018-08-17,True
a05ed2eb5656,5,Good product arrived on time,2018-08-25,True
1bdfcb832019,1,I can't evaluate if I haven't received the goods yet,2018-08-15,True
d670c0f6be30,2,"Wrong product.
Description said with Bluetooth and could answer calls from up to 2 cell phones. 
The product that arrived doesn't do this, I'm not going to change it to avoid bothering me anymore, bad luck...",2018-08-25,True
159cad5d8dad,4,"everything perfect, delivery, deadline and product.",2018-08-11,True
0d0bc6cf9765,4,"Control works great on my TV
All functions
Congratulations on the work",2018-08-16,True
970174307548,4,The screen protection film was broken in half,2018-08-30,True
0dd11fb64ad7,5,More than fast delivery!,2018-08-25,True
4a545fda8038,4,EXCELLENT PRICE,2018-08-30,True
4a545fda8038,4,EXCELLENT PRICE,2018-08-30,True
4a545fda8038,4,EXCELLENT PRICE,2018-08-30,True
4025cbfac798,5,"Perfect, delivered ahead of schedule, I recommend it.",2018-08-16,True
7ff5f712c2c3,5,Arrived on time,2018-08-28,True
7ff5f712c2c3,5,Arrived on time,2018-08-28,True
72b1dd0754a7,5,excellent service. Delivery ahead of schedule.,2018-08-30,True
72b4b2eaeeba,5,Good product and delivered super fast...,2018-08-28,True
777798445efd,1,"I found the product to be very small and where the ""screen"" with the microwave buttons is located, it comes off easily. It doesn't fit well...",2018-08-31,True
ce50ce6bd391,5,"Very good product
Delivery made ahead of schedule.",2018-08-18,True
223d59a37896,5,THE CARPET IS VERY BEAUTIFUL AND ARRIVED EARLY. I RECOMMEND,2018-08-21,True
2f13d1dc8b4e,5,It arrived quickly and is more beautiful than in the photo! I loved the 3 lamps,2018-08-25,True
811ea06b526c,5,Product arrived before the expected date.,2018-08-18,True
368c6c730842,5,Very handsome! Fast delivery!,2018-08-31,True
1a6c9da4039d,4,"Functional, but could be better. The handle's sealing button was missing, but it didn't compromise the beauty of the product.",2018-08-22,True
208c1210f363,5,Good quality product and delivered on time.,2018-08-21,True
42ca857208d0,5,Good quality product and delivered on time.,2018-08-21,True
77dcfc5b971d,5,Great service.,2018-08-22,True
7c1bd920dbdf,5,Excellent,2018-08-28,True
70aa499facb0,3,I received the wrong product.,2018-08-16,True
c3ba4e8d3cb3,5,As agreed,2018-08-21,True
35b1777d7b1b,5,Correct,2018-08-15,True
35b1777d7b1b,5,Correct,2018-08-15,True
aa8d88eb4b9c,5,A product that satisfies the needs of those who want a watch that works according to the category's standards.,2018-08-30,True
2988acfdcc03,1,I purchased two products together and only received one code. I automatically thought I would see both but only one arrived.,2018-08-25,True
978323714276,1,I purchased two products together and only received one code. I automatically thought I would see both but only one arrived.,2018-08-25,True
542a64689829,2,The film that they say is gel in the advertisement is actually a common plastic film.,2018-08-21,True
7384fb8f06ad,5,Thank you for the fast delivery and the correct product!,2018-08-17,True
0b814a3c8fa6,5,It arrived even before expected... I loved the headboard better than expected,2018-08-23,True
6c3c95f656ad,4,I just found the bible a little expensive for its size,2018-08-21,True
c04dab58e6ce,5,Excellent product!!! It arrived very quickly!,2018-08-21,True
719d57129970,5,I recommend this store,2018-08-31,True
f8763c8e0ef8,5,"Quality product, very beautiful, exceeded my expectations",2018-08-30,True
0e56431285bc,5,"the investment is not expensive for the benefit,",2018-08-14,True
7a054d17dc45,3,"Good quality product and met my expectations. My dissatisfaction is related to the cable issue, which in the advertised says 3 meters and I received 1 meter. I will have to assume an additional cost.",2018-08-31,True
a4756663d007,5,Excellent!! Well ahead of schedule. Perfect.,2018-08-31,True
90aaf7f99347,1,"Only one license arrived with the Microsoft seal and the other was printed on the invoice, which I found very strange. Furthermore, the license does not work.",2018-08-23,True
90aaf7f99347,1,"Only one license arrived with the Microsoft seal and the other was printed on the invoice, which I found very strange. Furthermore, the license does not work.",2018-08-23,True
c4b8fa873cd5,5,Good quality product.,2018-08-22,True
fcd3383d6f4f,5,"I recommend it, it arrived ahead of schedule, I loved it",2018-08-15,True
a5e74dc2d01e,5,She is beautiful. Much bigger than I expected.,2018-08-16,True
5999995b8f64,4,"Unsatisfied with the delivery, as I paid shipping. I had to go and collect it from the post office.",2018-08-30,True
4231002e80d2,3,I haven't received anything yet,2018-08-25,True
2ba4dc95f18b,5,Product corresponds to what was advertised. Great value for money.,2018-08-15,True
dc6d974a3b29,5,excellent,2018-08-18,True
093cd981b714,1,Second time I bought the same product and I didn't receive it Ridiculous website doesn't deliver what it sells Anyone who wants to buy buys it knowing they are deceivers,2018-08-22,True
9b0355200f6d,5,Product arrived much earlier than expected! Very good!,2018-08-23,True
7ae50b74ad98,5,"Delivery soooo ahead of schedule!! 
Very good product, good finish and perfect fit!!",2018-08-21,True
68e3ddebebde,5,I recommend!,2018-08-22,True
19c91ef95d50,3,I would like to know why I received the note worth 14.20 if in reality it was not the price I paid?,2018-08-21,True
3f1a741cf559,5,Perfect and I recommend it arrived on time,2018-08-16,True
2c925b58c178,5,DELIVER BEFORE THE ARRANGEMENT DEADLINE,2018-08-21,True
8569e9a17c2b,4,Great original product,2018-08-21,True
3af5874bd242,1,"Unfortunately the aerator is not articulated or 3/4, as it did not fit on the tank tap.

As for the hose, I haven't tested it yet. I hope it's right.",2018-08-31,True
df4bcf4a3281,1,"Unfortunately the aerator is not articulated or 3/4, as it did not fit on the tank tap.

As for the hose, I haven't tested it yet. I hope it's right.",2018-08-31,True
8c881951778b,1,"For the price paid, the quality was much lower, I wouldn't buy it again",2018-08-21,True
c8ab4e1fd530,1,"The doll is not the same as the image on the website, so I was very disappointed, because whenever I bought some things on this website they were well attended to.",2018-08-29,True
5d6bea33648f,5,Beautiful product! Great quality,2018-08-31,True
9b393d336031,1,"The order was not delivered within the deadline, I have already requested cancellation",2018-08-25,True
dd768d259ee6,4,"The product arrived ahead of schedule, exactly what I asked for, the very kind delivery drivers.",2018-08-17,True
ad19bca6e0f1,5,Very professional delivery. Perfect! They still had 3 days to deliver and it was already in hand. My daughter is the one who thanks you.,2018-08-29,True
5ece1e51ece4,3,"I CANNOT EVALUATE BECAUSE I HAVE NOT RECEIVED THE PRODUCT YET DUE TO THE MAIL FAILURE, FOR WHICH I HAVE ALREADY MADE A COMPLAINT",2018-08-29,True
8e05d659efa3,1,2 days after the deadline I already sent an email to the company and no one responds I'm worried that my product won't arrive I'm urgent to use it it's already paid it's past the deadline and no one tells me anything about it,2018-08-30,True
06f756df8d80,1,I don't have the product in hand!,2018-08-26,True
bafb66175e7c,1,I was sifting through my research on single and 100% cotton bedding sets and unfortunately after looking at several I ended up choosing one and after completing the purchase I checked that it was a double.,2018-08-16,True
cda8b52b3a3d,1,"I didn't receive the ball chandelier, the painting was delivered.",2018-08-28,True
d19284bf0893,1,"I didn't receive the ball chandelier, the painting was delivered.",2018-08-28,True
016711f78a6a,5,I loved the product and the speed of delivery.,2018-08-31,True
2136c70bbe72,3,"The clock is running late, even after having its hands readjusted several times. In addition to trying to exchange the product and not being successful.",2018-08-28,True
f2886fbf7888,3,"I found shipping to be very expensive, as I made two joint purchases.",2018-08-25,True
7b2a6e3216a4,4,"I received it before the stipulated deadline, very good.",2018-08-24,True
9a4b54310a69,1,Product arrived damaged and so far they have not contacted us for an exchange.,2018-08-14,True
9a4b54310a69,1,Product arrived damaged and so far they have not contacted us for an exchange.,2018-08-14,True
9a4b54310a69,1,Product arrived damaged and so far they have not contacted us for an exchange.,2018-08-14,True
9a4b54310a69,1,Product arrived damaged and so far they have not contacted us for an exchange.,2018-08-14,True
82c3ea364e54,2,"Dear all,
The product broke when connecting to the 110 volt device on the 220 volt network.
How can I send you another one?",2018-08-24,True
f4685661dba7,5,Everything perfect,2018-08-29,True
bf2f8d918c34,5,"Great quality product, delivered on time and very well packaged!",2018-08-18,True
cd6d8b8b983f,2,I received the product ahead of schedule but the zipper was defective.,2018-08-22,True
e852196fab4b,5,"Super fast delivery, even before the deadline. Very good.",2018-08-22,True
be9f0f3907f8,4,"Very good product, comfortable,",2018-08-17,True
2b4609f8948b,5,"I really liked the speed of delivery of the product, I would recommend the service.",2018-08-25,True
e611a297d7a9,2,"THE PRODUCT ARRIVED ON TIME, BUT IT DOESN'T LOOK ORIGINAL, IT DIDN'T EVEN COME IN THE ORIGINAL PERFUME BOX.
IF THE PRODUCT IS NOT ORIGINAL I THINK YOU SHOULD BE NOTIFIED",2018-08-29,True
43a39180da2e,4,"The cost x benefit is worth it when comparing the mug with the size of the cushion (which is really small). Overall, the product is very cute.",2018-08-24,True
116a8f521211,5,Delivery before deadline,2018-08-21,True
0127db1f4eff,5,I liked,2018-08-24,True
980e9d57d8db,5,"I received the right product on time, working correctly.",2018-08-15,True
61e8bddb5e00,5,I always recommend Lannister because the service is excellent!,2018-08-25,True
a55d10eb698c,5,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,2018-08-21,True
aa175ef941b5,5,Delivery made ahead of schedule and the pump works perfectly.,2018-08-15,True
11fd9d7ba552,5,"Beautiful, and of great quality.. it was perfect in my room 👏🏻👏🏻??",2018-08-23,True
7564c1759c04,5,"Great product arrived before the stipulated delivery date, I just thought shipping was a little expensive but the rest is fine!",2018-08-29,True
3a6a0247ced9,1,I haven't received it yet,2018-08-30,True
fbc1488c1a1e,5,fast delivery,2018-08-18,True
c3ba4e8d3cb3,1,"Product arrived defective, the watch case was loose, without screws. I want a refund!!",2018-08-24,True
936a034fe3b0,5,"Very beautiful watch..I really liked it 
Arrived ahead of schedule in perfect condition, everything works, I recommend it",2018-08-23,True
536c813a40c7,5,Great seller. I recommend it to everyone.,2018-08-17,True
b05ec8d9cabe,4,"I ORDERED IN BLACK, AND IT COME IN WHITE, I ACCEPTED THE SAME, BUT IT COULD HAVE BEEN CORRECT",2018-08-17,True
b05ec8d9cabe,4,"I ORDERED IN BLACK, AND IT COME IN WHITE, I ACCEPTED THE SAME, BUT IT COULD HAVE BEEN CORRECT",2018-08-17,True
027cdd14a677,1,"I bought two perfumes and only one came in the box and to help, the perfume is counterfeit and marked on the box for sale prohibited which is just for testing",2018-08-28,True
027cdd14a677,1,"I bought two perfumes and only one came in the box and to help, the perfume is counterfeit and marked on the box for sale prohibited which is just for testing",2018-08-28,True
57f2bc497c1a,1,"They sent the watch, when I arrived I noticed that it was stopped.
Conclusion:
They sent a broken product.",2018-08-22,True
d1b1a0e78589,5,exceeded my expectations,2018-08-14,True
76c73618750e,1,"The product that came is not what I bought, including the invoice came in someone else's name, and I can't contact them to resolve the problem",2018-08-30,True
be0dbdc3d67d,5,Excellent,2018-08-25,True
6d07236d4abe,5,I spent a lot,2018-08-25,True
d017a2151d54,1,It's synthetic leather!!,2018-08-30,True
2535db191954,1,I bought a kit with 2 ointments and only received one. I sent a message and got no response. Complete lack of respect.,2018-08-30,True
51d35e4714b1,5,"I've been using this tablet for some time, great product.",2018-08-09,True
a92930c32794,5,"Everything ok with the product and delivery.
Delivery made ahead of schedule!!!",2018-08-15,True
06a2ab007679,5,"The store delivered the product before the deadline, everything was fine, thank you",2018-08-24,True
63955fd9443d,1,Product was not delivered,2018-08-25,True
63bfa27a0cee,1,"I said it wasn't delivered because I had to go get it. They don't deliver to my house... And after a week of use, the phone is already causing problems!",2018-08-26,True
3003a2841d6a,5,The pan is great!!,2018-08-21,True
3a7d90845985,5,"It arrived very quickly, well, the post office is also working better",2018-08-24,True
19c91ef95d50,5,Gosteeeeeiiiiiiiii,2018-08-23,True
0c2b45d82e82,4,Everything ok with delivery and product quality too,2018-08-17,True
c696cd2db787,5,"Perfect purchase and service!
Product delivered on time, excellent quality, beautiful. What a wonderful watch brand OSLO! I will buy others.",2018-08-16,True
5403528d987a,5,Everything as requested. Early delivery,2018-08-17,True
231a4c5f70ff,2,They only delivered one! Terrible,2018-08-25,True
231a4c5f70ff,2,They only delivered one! Terrible,2018-08-25,True
595fac2a385a,4,"With the sale and delivery, everything was great. The deadline was shorter than stipulated, but, unfortunately, the perfume is no longer the same. I didn't buy it for about 15 years and the fragrance changed. What a shame! It became common.",2018-08-17,True
c5215dd0ebe5,5,x,2018-08-18,True
9093f710f0fa,5,"In the case of Tramontina, there is no need for an introduction. But the product is very good. Safety in the kitchen is essential. The fixing of the knives is very firm. So, don't hesitate to attach it to the wall.",2018-08-29,True
413226ab1868,4,"Very practical and useful support, with a lot of functionality.",2018-08-19,True
2d4b08af04c0,5,"Product delivered on time and very well packaged as usual
without a doubt I recommend it",2018-08-24,True
aa5a3fa92cb1,5,I really liked it,2018-08-18,True
4bba2ed71557,5,Came for children over 3 months old and my baby is one month old,2018-08-09,True
b98992ea80b4,1,I didn't receive,2018-08-31,True
380b4664ba5b,1,Came as I expected,2018-08-21,True
027cdd14a677,3,"Original perfume, good staying power, however the outer packaging (box) is white and only has the name of the perfume and the writing ""Tester"", that is, it is for store displays, unpleasant to give as a gift...",2018-08-21,True
4a78f5e17416,3,"Product arrived half-completed, merchandise is missing",2018-08-22,True
a92930c32794,5,"I apologize for the previous review, where I was informed that I had not yet received the product, in fact it was at the entrance of my building.",2018-08-11,True
12b5c5d13512,5,Product delivered 1 day ahead of schedule. Great service..,2018-08-14,True
f8077831f3c3,1,"I did not receive the complete purchased product. I bought two pendants, but they only delivered one.
How do I receive the remainder?",2018-08-24,True
fbc1488c1a1e,4,I liked,2018-08-25,True
8eea5d1c2305,5,"Beautiful product and delivery much earlier than expected, I loved it",2018-08-22,True
b5adf7b72a7e,5,Great product,2018-08-30,True
e7cc48a9daff,1,"I bought 2 (two) Tablet Qbex Zupin TX120 7"" 4GB Dual Core Android 4.2 Black and only received 1 (one). The invoice shows 2 units, but in the sealed box there was only 1 (one). I consider myself stolen.",2018-08-22,True
e7cc48a9daff,1,"I bought 2 (two) Tablet Qbex Zupin TX120 7"" 4GB Dual Core Android 4.2 Black and only received 1 (one). The invoice shows 2 units, but in the sealed box there was only 1 (one). I consider myself stolen.",2018-08-22,True
